A Start
"Franklin, My Dear"
Gracie's Theme
Happily Ever After
Jessica's Sonata
Jessica's Theme (from The Man from Snowy River)
Main Title
"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack"
Mourning
"Mrs Darcy - From ""Pride & Prejudice"" Soundtrack"
"Nocturne in C-Sharp Minor, B. 49"
Rose's Grave
Rosemary Recalls
"Suite Bergamasque, L 75: Clair de lune"
Tears of Joy
"The Living Sculptures Of Pemberley - From ""Pride & Prejudice"" Soundtrack"
"Theme (From ""Schindler's List"")"
Time
Valley of the Shadow - Instrumental
Weightless Part 1
What's The Best Thing You've Ever Stolen?
Who Is She
